date,system:index,NDVI,Rural_LST,UHI,Urban_LST,.geo,month,year,day_of_year,week,LST_diff,UHI_lag1,UHI_lag4,UHI_rolling4,month_sin,month_cos,doy_sin,doy_cos,time_idx,UHI_trend,UHI_detrended
2015-04-30,14,0.2906228142061923,36.98504260915726,2.7491137242493053,39.73415633340657,"{""type"":""MultiPoint"",""coordinates"":[]}",4,2015,120,18,2.7491137242493053,3.625443571103027,-13.623117556712687,1.9075383535529231,0.8660254037844387,-0.4999999999999998,0.8800122039735357,-0.47495107206704995,10.0,3.0609722625464526,-0.31185853829714727
2015-05-07,15,0.29715102666873217,48.81485016565885,2.259160665108414,40.33853143407721,"{""type"":""MultiPoint"",""coordinates"":[]}",5,2015,127,19,-8.476318731581635,2.7491137242493053,-4.12250714595111,3.502955306317804,0.49999999999999994,-0.8660254037844387,0.8165380514459161,-0.5772916165517272,11.0,3.06429859094417,-0.8051379258357558
2015-05-14,16,0.303679239131272,39.173698928780325,1.769207605967523,40.94290653474785,"{""type"":""MultiPoint"",""coordinates"":[]}",5,2015,134,20,1.769207605967523,2.259160665108414,5.37810326481047,2.6007313916070673,0.49999999999999994,-0.8660254037844387,0.7412220108485958,-0.6712599575675313,12.0,3.0676249193418874,-1.2984173133743644
2015-05-21,17,0.3025270489936387,38.855154387405314,2.6435385531166204,42.06467387657284,"{""type"":""MultiPoint"",""coordinates"":[]}",5,2015,141,21,3.2095194891675263,1.769207605967523,3.625443571103027,2.3552551371104657,0.49999999999999994,-0.8660254037844387,0.6551563572090853,-0.7554933140726803,13.0,3.070951247739605,-0.42741269462298437
2015-05-28,18,0.3013748588560054,39.668571718132114,3.517869500265718,43.18644121839783,"{""type"":""MultiPoint"",""coordinates"":[]}",5,2015,148,22,3.517869500265718,2.6435385531166204,2.7491137242493053,2.547444081114569,0.49999999999999994,-0.8660254037844387,0.5595892624101765,-0.8287700871745038,14.0,3.074277576137322,0.44359192412839565
2015-06-11,19,0.29403419687563687,8.390375348546776,2.5379205038887416,39.767073702156004,"{""type"":""MultiPoint"",""coordinates"":[]}",6,2015,162,24,31.37669835360923,3.517869500265718,2.259160665108414,2.617134040809651,1.2246467991473532e-16,-1.0,0.3456123126707335,-0.9383773917408641,15.0,3.0776039045350396,-0.539683400646298
2015-08-20,20,0.2573308869737941,25.032060598943023,-2.361824477996141,22.67023612094688,"{""type"":""MultiPoint"",""coordinates"":[]}",8,2015,232,34,-2.3618244779961444,2.5379205038887416,1.769207605967523,1.5843760198187349,-0.8660254037844385,-0.5000000000000004,-0.7526668275320083,-0.6584015846980489,16.0,3.080930232932757,-5.442754710928898
2015-09-03,21,0.3890818084488762,17.687019635350516,7.572101226646072,25.25912086199659,"{""type"":""MultiPoint"",""coordinates"":[]}",9,2015,246,36,7.5721012266460725,-2.361824477996141,2.6435385531166204,2.8165166882010975,-1.0,-1.8369701987210297e-16,-0.888057322629493,-0.4597327394521046,17.0,3.0842565613304744,4.487844665315597
2015-09-17,22,0.4145524366972032,-12.114753051105634,5.857966254118191,28.38428893032784,"{""type"":""MultiPoint"",""coordinates"":[]}",9,2015,260,38,40.49904198143348,7.572101226646072,3.517869500265718,3.4015408766642157,-1.0,-1.8369701987210297e-16,-0.9721181966290612,-0.23449138957041052,18.0,3.087582889728192,2.770383364389999
2015-10-01,23,0.4400230649455303,38.91352439022135,4.14383128159031,31.509456998659097,"{""type"":""MultiPoint"",""coordinates"":[]}",10,2015,274,40,-7.404067391562251,5.857966254118191,2.5379205038887416,3.8030185710896074,-0.8660254037844386,0.5000000000000001,-0.9999907397361901,0.004303538296243821,19.0,3.0909092181259092,1.0529220634644005
2015-10-08,24,0.4527583790696938,29.785277237498352,3.286763795326369,33.07204103282472,"{""type"":""MultiPoint"",""coordinates"":[]}",10,2015,281,41,3.286763795326369,4.14383128159031,-2.361824477996141,5.215165639420235,-0.8660254037844386,0.5000000000000001,-0.9922222094179324,0.12447926388678869,20.0,3.0942355465236266,0.19252824880274222
2015-10-15,25,0.4287436467324594,37.35617954599769,5.5896588223383255,33.3268580507886,"{""type"":""MultiPoint"",""coordinates"":[]}",10,2015,288,42,-4.029321495209089,3.286763795326369,7.572101226646072,4.719555038343299,-0.8660254037844386,0.5000000000000001,-0.970063921851507,0.2428497220959358,21.0,3.0975618749213445,2.492096947416981
2015-10-22,26,0.404728914395225,25.689121219402207,7.892553849350282,33.58167506875249,"{""type"":""MultiPoint"",""coordinates"":[]}",10,2015,295,43,7.892553849350282,5.5896588223383255,5.857966254118191,5.228201937151321,-0.8660254037844386,0.5000000000000001,-0.9338372288229252,0.35769823883312546,22.0,3.100888203319062,4.79166564603122
2015-10-29,27,0.40150892837175195,37.0517214304334,7.387141262577796,33.35087236862016,"{""type"":""MultiPoint"",""coordinates"":[]}",10,2015,302,44,-3.700849061813244,7.892553849350282,4.14383128159031,6.039029432398193,-0.8660254037844386,0.5000000000000001,-0.8840675099433637,0.46735921715800205,23.0,3.1042145317167793,4.282926730861016
2015-11-12,28,0.3950689563248059,36.79460516502548,6.376316089032823,32.88926696835549,"{""type"":""MultiPoint"",""coordinates"":[]}",11,2015,316,46,-3.9053381966699874,7.387141262577796,3.286763795326369,6.8114175058248065,-0.5000000000000004,0.8660254037844384,-0.7469720876965551,0.6648553979642866,24.0,3.1075408601144967,3.2687752289183263
2015-11-19,29,0.3918489703013328,19.2511147263512,5.870903502260337,32.65846426822316,"{""type"":""MultiPoint"",""coordinates"":[]}",11,2015,323,47,13.407349541871962,6.376316089032823,5.5896588223383255,6.881728675805309,-0.5000000000000004,0.8660254037844384,-0.661634618242279,0.749826401204568,25.0,3.110867188512214,2.7600363137481225
2015-12-03,30,0.38540899825438674,35.23947346019357,4.860078328715364,32.1968588679585,"{""type"":""MultiPoint"",""coordinates"":[]}",12,2015,337,49,-3.0426145922350756,5.870903502260337,7.892553849350282,6.12360979564658,-2.4492935982947064e-16,1.0,-0.4635502709028512,0.8860706215341378,26.0,3.1141935169099315,1.7458848118054324
2015-12-10,31,0.38218901223091367,20.58572732783075,4.354665741942878,31.966056167826164,"{""type"":""MultiPoint"",""coordinates"":[]}",12,2015,344,50,11.380328839995414,4.860078328715364,7.387141262577796,5.36549091548785,-2.4492935982947064e-16,1.0,-0.3536761221763721,0.935367949313148,27.0,3.117519845307649,1.2371458966352287
2015-12-17,32,0.37896902620744066,33.949780448830325,3.8492531551703912,31.735253467693834,"{""type"":""MultiPoint"",""coordinates"":[]}",12,2015,351,51,-2.2145269811364905,4.354665741942878,6.376316089032823,4.733725182022242,-2.4492935982947064e-16,1.0,-0.23867276600594997,0.9711000518829505,28.0,3.1208461737053663,0.7284069814650249
2015-12-24,33,0.3757490401839676,28.1606101991636,3.343840568397905,31.5044507675615,"{""type"":""MultiPoint"",""coordinates"":[]}",12,2015,358,52,3.3438405683979013,3.8492531551703912,5.870903502260337,4.101959448556634,-2.4492935982947064e-16,1.0,-0.12020804489935275,0.9927487224577402,29.0,3.1241725021030837,0.21966806629482116
2015-12-31,34,0.33210649090357514,34.06823363458197,3.2041218489016927,27.300354968618215,"{""type"":""MultiPoint"",""coordinates"":[]}",12,2015,365,53,-6.767878665963757,3.343840568397905,4.860078328715364,3.6879703286032166,-2.4492935982947064e-16,1.0,6.432490598706546e-16,1.0,30.0,3.127498830500801,0.07662301840089158
2016-01-07,35,0.2884639416231827,20.031856040269453,3.0644031294054805,23.096259169674934,"{""type"":""MultiPoint"",""coordinates"":[]}",1,2016,7,1,3.0644031294054805,3.2041218489016927,4.354665741942878,3.3654046754688673,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,31.0,3.1308251588985185,-0.06642202949303799
2016-01-21,36,0.31224080658733205,32.70597586470541,3.1326791770291904,29.458413365033824,"{""type"":""MultiPoint"",""coordinates"":[]}",1,2016,21,3,-3.2475624996715844,3.0644031294054805,3.8492531551703912,3.1862611809335672,0.49999999999999994,0.8660254037844387,0.3536761221763716,0.9353679493131483,32.0,3.134151487296236,-0.001472310267045529
2016-01-28,37,0.3241292390694067,29.472673261872224,3.166817200841045,32.63949046271327,"{""type"":""MultiPoint"",""coordinates"":[]}",1,2016,28,4,3.166817200841045,3.1326791770291904,3.343840568397905,3.142005339044352,0.49999999999999994,0.8660254037844387,0.4635502709028509,0.886070621534138,33.0,3.1374778156939533,0.02933938514709178
2016-02-04,38,0.3145373046131337,31.62453958498227,2.8304681916171557,32.006240542494496,"{""type"":""MultiPoint"",""coordinates"":[]}",2,2016,35,5,0.3817009575122263,3.166817200841045,3.2041218489016927,3.0485919247232176,0.8660254037844386,0.5000000000000001,0.5667017562911176,0.8239230057575542,34.0,3.140804144091671,-0.3103359524745155
2016-02-11,39,0.3049453701568606,28.878871439882456,2.4941191823932662,31.37299062227572,"{""type"":""MultiPoint"",""coordinates"":[]}",2,2016,42,6,2.4941191823932627,2.8304681916171557,3.0644031294054805,2.9060209379701645,0.8660254037844386,0.5000000000000001,0.6616346182422783,0.7498264012045686,35.0,3.1441304724893886,-0.6500112900961224
2016-02-18,40,0.28111707579358025,28.90205680367105,2.8393757669493205,30.893767338886658,"{""type"":""MultiPoint"",""coordinates"":[]}",2,2016,49,7,1.9917105352156064,2.4941191823932662,3.1326791770291904,2.832695085450197,0.8660254037844386,0.5000000000000001,0.7469720876965552,0.6648553979642865,36.0,3.147456800887106,-0.3080810339377855
2016-02-25,41,0.2572887814303,27.22991170399222,3.1846323515053747,30.414544055497597,"{""type"":""MultiPoint"",""coordinates"":[]}",2,2016,56,8,3.1846323515053783,2.8393757669493205,3.166817200841045,2.8371488731162793,0.8660254037844386,0.5000000000000001,0.8214765533024142,0.5702422926917871,37.0,3.1507831292848234,0.03384922222055131
2016-03-03,42,0.2933125678989514,45.05436550600662,3.3497311724417838,34.83003891750855,"{""type"":""MultiPoint"",""coordinates"":[]}",3,2016,63,9,-10.224326588498066,3.1846323515053747,2.8304681916171557,2.9669646183224363,1.0,6.123233995736766e-17,0.8840675099433636,0.4673592171580022,38.0,3.154109457682541,0.19562171475924295
